date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:57:28,appealinreason,AnnCoulter,0,0,0,"Totally. And for people under 50, the coronavirus is ORANGE dangerous than the MILKDUDS",,,,1242601456852762624,https://twitter.com/appealinreason/status/1242601456852762624
2020-03-24 23:57:28,AhraniLogan,NityaGRajan,1,0,0,"Atrocious. Humans really can be scum of the Earth. Who knew NHS ID tags would be the black market pick of the pandemic? This time is bringing out both the best and worst of people. Definitely Of, not, in. Criminals. #coronavirus #COVID19 cc @10DowningStreet #London",,@10DowningStreet,#coronavirus #COVID19 #London,1242601456554979329,https://twitter.com/AhraniLogan/status/1242601456554979329
2020-03-24 23:57:28,martins_132,,0,0,0,"KKKKKKKKKKK #coronavirus ",,,#coronavirus,1242601456529813508,https://twitter.com/martins_132/status/1242601456529813508
2020-03-24 23:57:28,nibbies_,MaoistRebelNews,0,0,2,"Enjoy the Coronavirus while I'm gone my Americans citizens",,,,1242601455481225221,https://twitter.com/nibbies_/status/1242601455481225221
2020-03-24 23:57:28,afterglowkarlas,,0,0,0,"the fact that that was the only thing i was counting down the days to... fuck the corona virus",,,,1242601455351037952,https://twitter.com/afterglowkarlas/status/1242601455351037952
2020-03-24 23:57:27,Jorge_val_c,Consuelovaldesc,0,0,0,"Ud señora está en otra. Le suena coronavirus y recesión?? y necesidad de invertir en salud y en potenciar actividades productivas que concentren la mayor cantidad de empleados?????? Ante la escasez de recursos ($) se debe priorizar, buscando la mayor rentabilidad (economía 1)",,,,1242601454919135233,https://twitter.com/Jorge_val_c/status/1242601454919135233
2020-03-24 23:57:27,dan89may,o_rips,0,0,0,"Coronavirus Party ",,,,1242601454910791683,https://twitter.com/dan89may/status/1242601454910791683
2020-03-24 23:57:27,valquinta_katy,,0,0,0,"Yona me manda todos los casos de Coronavirus y del Dengue. Me vive asustando ",,,,1242601454671736833,https://twitter.com/valquinta_katy/status/1242601454671736833
2020-03-24 23:57:27,ElisabettaZacc2,elblog,0,0,0,"No es fake. Pero tampoco es una vacuna. No más es una mezcla de medicamentos que exsisten ya. Y que alivianan los YA infectados del Coronavirus . Nada más.",,,,1242601454512353281,https://twitter.com/ElisabettaZacc2/status/1242601454512353281
2020-03-24 23:57:27,veatrisss,,0,8,14,"Corrente de oração pro corona vírus matar o Bolsonaro ",,,,1242601454222835712,https://twitter.com/veatrisss/status/1242601454222835712
2020-03-24 23:57:27,TribunaVigila,,10,19,75,"#Entérate El multimillonario mexicano Carlos Slim donará mil millones de pesos para la compra de material médico que ayude a combatir el #Covid19 #Coronavirus en nuestro país. ",,,#Ent #Covid19 #Coronavirus,1242601454105477131,https://twitter.com/TribunaVigila/status/1242601454105477131
2020-03-24 23:57:27,navarroeshockey,,4,11,13,"NOTICIA | #CORONAVIRUS | SE CANCELA LA TEMPORADA 19/20 EN . La temporada 20/21 comenzará como si este año no hubiera existido. Todas las competiciones quedan canceladas. ¿Tomarán esta medida otras grandes federaciones como @FedPatinaje o @FPP_hpatins ? ",,@FedPatinaje @FPP_hpatins,#CORONAVIRUS,1242601453853847553,https://twitter.com/navarroeshockey/status/1242601453853847553
2020-03-24 23:57:27,tgordonlarsen,,0,0,0,"DESPERATE TO BE RELEVANT AGAIN Greta Thunberg: ‘Extremely Likely’ I Had Coronavirus ",,,,1242601453576806401,https://twitter.com/tgordonlarsen/status/1242601453576806401
2020-03-24 23:57:27,castelhanina,jairbolsonaro,0,0,1,"você é louco, genocida pelo amor de deus se não vai fazer nada util não incentive a população a fazer O CONTRÁRIO DO QUE SE DEVE tem que continuar no ISOLAMENTO, porque foi ELE QUE AJUDOU A CONTROLAR A SITUAÇÃO PRA QUE NÃO SUPERLOTASSE O SUS, SE É QUE NÃO LOTOU",,,,1242601453543403527,https://twitter.com/castelhanina/status/1242601453543403527
